Model,Accuracy,Precision,Recall,F1,ROC-AUC
Gradient Boosting,0.8058244195044608,0.6719832959477227,0.5257525083612039,0.5895980865775531,0.8507192694627979
XGBoost,0.8063557031430999,0.6734069218955333,0.5250836120401339,0.5897641259295474,0.8506223269901516
LightGBM,0.803694399220805,0.6751889415256056,0.5030100334448161,0.5762500051538251,0.8495595110889876
Logistic Regression,0.8036934535958178,0.6551985661445764,0.5498327759197325,0.5973782660853237,0.8463631817605572
