Model,Accuracy,Precision,Recall,F1,ROC-AUC
Gradient Boosting,0.8033404202672652,0.6622213790227793,0.5290969899665552,0.5879715423174938,0.848227926746692
Logistic Regression,0.8019183578906889,0.6520936350656179,0.5438127090301004,0.5924124081667455,0.846149025453707
LightGBM,0.7969503594162972,0.6461874526198279,0.5197324414715719,0.5759794106702675,0.8373306593539723
XGBoost,0.7843472271911313,0.6120949260820733,0.5150501672240801,0.55898466285537,0.8246434049471538
Random Forest,0.7854129465516998,0.6270753712550855,0.47558528428093655,0.5403372571876275,0.8179693145976408
Decision Tree,0.7321613362311485,0.4957453067347732,0.5003344481605352,0.49754112593032407,0.6582353812976488
