number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
16,0.8491903958915248,2026-08-14 11:05:05.854053,2026-08-14 11:05:10.865018,0 days 00:00:05.010965,0.6060094749020863,0.01212620692643231,2,9,446,0.8546256382652668,COMPLETE
17,0.8455514154191016,2026-08-14 11:05:10.871052,2026-08-14 11:05:17.845011,0 days 00:00:06.973959,0.6696671296114034,0.01882559562155593,5,8,495,0.9173263054802767,COMPLETE
18,0.8495350696020209,2026-08-14 11:05:17.849283,2026-08-14 11:05:20.091659,0 days 00:00:02.242376,0.7125019025937008,0.026919648019371165,4,10,108,0.7742421936627042,COMPLETE
19,0.8488359752821457,2026-08-14 11:05:20.097216,2026-08-14 11:05:23.717975,0 days 00:00:03.620759,0.874609995695161,0.015262143341550877,3,9,222,0.8964103424456463,COMPLETE
20,0.8504299688441129,2026-08-14 11:05:23.722515,2026-08-14 11:05:28.520079,0 days 00:00:04.797564,0.7312345636497416,0.02395583129887641,2,7,373,0.8214721854826547,COMPLETE
21,0.8504505620740994,2026-08-14 11:05:28.527508,2026-08-14 11:05:33.136946,0 days 00:00:04.609438,0.7340494945339997,0.023958733367636657,2,7,398,0.81091479322942,COMPLETE
22,0.8503140586014662,2026-08-14 11:05:33.158129,2026-08-14 11:05:37.637849,0 days 00:00:04.479720,0.7309121950322738,0.024780078073191422,2,7,366,0.8180201575500381,COMPLETE
23,0.8502040079271651,2026-08-14 11:05:37.642375,2026-08-14 11:05:40.573006,0 days 00:00:02.930631,0.8280280173994163,0.03587899550509575,2,5,243,0.8731892071822659,COMPLETE
24,0.8505824372838635,2026-08-14 11:05:40.587431,2026-08-14 11:05:44.659312,0 days 00:00:04.071881,0.7320473882340739,0.023261873947270986,2,7,373,0.83198784881226,COMPLETE
25,0.8495562484469481,2026-08-14 11:05:44.666495,2026-08-14 11:05:48.599400,0 days 00:00:03.932905,0.7354575208946222,0.037018477134631515,2,7,378,0.830412690630683,COMPLETE
26,0.850606535411945,2026-08-14 11:05:48.621143,2026-08-14 11:05:52.362758,0 days 00:00:03.741615,0.6637206034954156,0.022504931522407963,2,5,348,0.7571012140030953,COMPLETE
27,0.8502376932409643,2026-08-14 11:05:52.370360,2026-08-14 11:05:56.252097,0 days 00:00:03.881737,0.6598115879791484,0.022337117065398378,3,5,332,0.7651886982540256,COMPLETE
28,0.8459574688040139,2026-08-14 11:05:56.268695,2026-08-14 11:05:59.187999,0 days 00:00:02.919304,0.6597874688110152,0.012812201740125633,2,4,251,0.7434714863678771,COMPLETE
29,0.850716279358821,2026-08-14 11:05:59.192282,2026-08-14 11:06:03.287706,0 days 00:00:04.095424,0.7544332066470613,0.03002246334558608,2,1,353,0.7866588234586152,COMPLETE
30,0.8478096829003036,2026-08-14 11:06:03.296429,2026-08-14 11:06:07.514760,0 days 00:00:04.218331,0.8762156717607815,0.031282943309839044,3,1,356,0.6793933745796414,COMPLETE
31,0.8497443807877584,2026-08-14 11:06:07.519410,2026-08-14 11:06:12.005294,0 days 00:00:04.485884,0.7655144290788702,0.03580268412350529,2,4,395,0.7917423733347984,COMPLETE
32,0.8506633039181732,2026-08-14 11:06:12.025293,2026-08-14 11:06:16.324385,0 days 00:00:04.299092,0.8110188276218633,0.028880792857733678,2,1,330,0.7807190426823029,COMPLETE
33,0.8496126017966296,2026-08-14 11:06:16.329699,2026-08-14 11:06:19.768757,0 days 00:00:03.439058,0.8246899353598077,0.041823525364445995,2,1,321,0.736551678424441,COMPLETE
34,0.8504624946500972,2026-08-14 11:06:19.788777,2026-08-14 11:06:23.622057,0 days 00:00:03.833280,0.859635412939394,0.029195121229005676,2,2,356,0.7786594854872013,COMPLETE
35,0.8463926661785207,2026-08-14 11:06:23.636000,2026-08-14 11:06:26.982814,0 days 00:00:03.346814,0.800707902407735,0.05517080592938157,3,2,272,0.7103325453736772,COMPLETE
36,0.8506492706500479,2026-08-14 11:06:26.987670,2026-08-14 11:06:30.098336,0 days 00:00:03.110666,0.7535398654985503,0.031989942682538755,2,1,276,0.6525090303095036,COMPLETE
37,0.8490796536152583,2026-08-14 11:06:30.102588,2026-08-14 11:06:32.805749,0 days 00:00:02.703161,0.9289433778112004,0.041498195076053866,3,1,211,0.6667101947183791,COMPLETE
38,0.8491402860078899,2026-08-14 11:06:32.810032,2026-08-14 11:06:35.903323,0 days 00:00:03.093291,0.8361706274808771,0.055903319121872026,2,2,278,0.6292689337482263,COMPLETE
39,0.8361823275535922,2026-08-14 11:06:35.907873,2026-08-14 11:06:39.625567,0 days 00:00:03.717694,0.7657930462505282,0.13542677974803252,3,1,313,0.6562138940212643,COMPLETE
40,0.8492299534725755,2026-08-14 11:06:39.634160,2026-08-14 11:06:43.170857,0 days 00:00:03.536697,0.8027244156947226,0.031610278798528235,3,2,292,0.6106403687019172,COMPLETE
41,0.8504880492450295,2026-08-14 11:06:43.176058,2026-08-14 11:06:46.979529,0 days 00:00:03.803471,0.7511202273300895,0.027059437493660705,2,3,339,0.8363290028827158,COMPLETE
42,0.8501685784674494,2026-08-14 11:06:46.983425,2026-08-14 11:06:50.376845,0 days 00:00:03.393420,0.7834743039273173,0.021307002661296467,2,4,306,0.7923615079176033,COMPLETE
43,0.848622686408269,2026-08-14 11:06:50.382184,2026-08-14 11:06:54.818865,0 days 00:00:04.436681,0.7114073321624363,0.044936750386717975,2,1,418,0.6944340516585895,COMPLETE
44,0.8498850162890823,2026-08-14 11:06:54.837043,2026-08-14 11:06:58.606240,0 days 00:00:03.769197,0.7480641938025547,0.017068279054235518,2,3,346,0.7507342918074411,COMPLETE
45,0.8504363187856032,2026-08-14 11:06:58.610974,2026-08-14 11:07:02.154876,0 days 00:00:03.543902,0.7808738718613387,0.026998593046680657,2,6,322,0.7166878879169816,COMPLETE
46,0.8505715694623035,2026-08-14 11:07:02.159076,2026-08-14 11:07:05.388229,0 days 00:00:03.229153,0.6430193355205306,0.033467578390317165,2,2,292,0.7674319373149204,COMPLETE
47,0.8477873606654039,2026-08-14 11:07:05.392436,2026-08-14 11:07:08.524652,0 days 00:00:03.132216,0.7154446271218529,0.018273012044692123,6,6,188,0.7343718775349428,COMPLETE
48,0.8450446875483963,2026-08-14 11:07:08.528750,2026-08-14 11:07:11.695939,0 days 00:00:03.167189,0.8083191891214928,0.06960808431726291,3,1,263,0.6318162771818564,COMPLETE
49,0.8491955516474183,2026-08-14 11:07:11.700833,2026-08-14 11:07:16.287602,0 days 00:00:04.586769,0.779101671834282,0.03904131047617955,2,3,449,0.8406509457287938,COMPLETE
